id,State,source,Agricultural_2018,Non_Agricultural_2018,Agricultural_2017,Non_Agricultural_2017,Agricultural_2016,Non_Agricultural_2016,Agricultural_2015,Non_Agricultural_2015,Agricultural_2014,Non_Agricultural_2014,Agricultural_2013,Non_Agricultural_2013,Agricultural_2012,Non_Agricultural_2012,Agricultural_2011,Non_Agricultural_2011,Agricultural_2010,Non_Agricultural_2010,source_ab,target_ab
1076,Telangana,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,TE
1077,Tripura,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,TR
1078,Uttar Pradesh,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,UP
1079,Uttarakhand,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,UR
1080,West Bengal,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,WB
1081,Andaman & Nicobar Islands,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,AN
1082,Andhra Pradesh,Tamil Nadu,0,9124228476,171388750,12580776545,0,12152904292,0,13445332212,0,12740028993,224721000,13087124569,0,15423169695,0,15901679547,0,13452668273,TN,AP
1083,Arunachal Pradesh,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,AR
1084,Assam,Tamil Nadu,0,202608605,172331250,61205760,0,226635503,0,62951940,0,275856318,0,948101317,0,174575453,0,487063296,0,1531510788,TN,AS
1085,Bihar,Tamil Nadu,0,0,0,0,0,0,0,509797,0,0,0,130839186,0,732311544,0,979696408,0,2188607034,TN,BR
1086,Chandigarh,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,84465508,0,0,0,0,TN,CN
1087,Chattisgarh,Tamil Nadu,0,0,0,52212008,0,1416316,0,509797,0,179120951,0,261230362,0,324144101,0,72360483,0,0,TN,CH
1088,Dadra & Nagar Haveli,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,DN
1089,Daman & Diu,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,DD
1090,Delhi,Tamil Nadu,0,343240939,0,1086898684,0,1976294703,0,2125719467,0,0,1262062329,81226663,0,169504960,52443919,1199396415,0,5456933327,TN,DL
1091,Goa,Tamil Nadu,0,0,0,0,0,0,0,260940586,0,191245290,0,162999120,0,149603880,0,162937500,0,113821200,TN,GA
1092,Gujarat,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,96166747,0,272541983,0,0,0,0,TN,GJ
1093,Haryana,Tamil Nadu,0,51985546,0,0,0,0,0,70862463,0,0,0,0,0,118083296,0,169512047,0,787767943,TN,HR
1094,Himachal Pradesh,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,HP
1095,Jammu & Kashmir,Tamil Nadu,0,0,0,0,0,0,0,0,0,77010594,0,0,0,0,0,0,0,0,TN,JK
1096,Jharkhand,Tamil Nadu,0,19977360,0,29988304,0,0,0,0,0,0,0,0,0,0,0,0,0,97358004,TN,JH
1097,Karnataka,Tamil Nadu,990685000,14045688647,712286250,12635227029,0,16442902341,0,19885379068,1456872270,25423257611,359397000,25788632937,0,21692702469,33699556,24554410568,0,28926649848,TN,KA
1098,Kerala,Tamil Nadu,43989750,5222244818,0,5120690853,78229350,4723973150,76248900,8073978793,18690000,4314846417,58425200,1980723984,0,2675467279,13580700,3178856780,0,5289869401,TN,KL
1099,Lakshadeep,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,LD
1100,Madhya Pradesh,Tamil Nadu,0,90409646,0,51167872,0,135792618,0,672889486,0,130615891,0,207178754,0,845641258,0,841921687,0,402619932,TN,MP
1101,Maharashtra,Tamil Nadu,0,1350437961,0,803056575,0,517205314,0,1887116048,0,2705915000,0,2550839155,0,6326433664,0,4022398561,0,2579453779,TN,MH
1102,Manipur,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,MN
1103,Meghalaya,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,ML
1104,Mizoram,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,MZ
1105,Nagaland,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,NL
1106,Odisha,Tamil Nadu,0,1386104038,0,902382797,0,438309618,0,297093378,0,77532111,0,249955415,0,696525554,0,226467423,0,208600837,TN,OD
1107,Puducherry,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,226699250,0,0,0,27009150,0,25620750,0,TN,PD
1108,Punjab,Tamil Nadu,0,117532540,0,0,0,0,0,0,0,0,0,0,0,145752833,0,145416739,0,791329943,TN,PN
1109,Rajasthan,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,50886009,0,0,0,165679518,0,363716034,TN,RJ
1110,Sikkim,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,SK
1111,Tamil Nadu,Tamil Nadu,2760371800,1.37223E+11,5709074700,14451248693,6504207710,22499617045,4614073100,20097788499,7384145182,26491804446,4917411500,14518082981,4620018450,13531011222,4123410515,23569809547,3214476950,34824812434,TN,TN
1112,Telangana,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,TE
1113,Tripura,Tamil Nadu,0,26172120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TN,TR
